Thickness,Height,Angle (deg),Bending_Stiffness
3.179,56.57,54.9,1735.1170173800367
3.179,56.57,54.9,1735.1170173800367
3.181,39.478,68.2,753.4831768750781
3.181,39.478,68.2,753.4831768750781
3.187,91.236,64.6,4687.3746117434
3.187,91.236,64.6,4687.3746117434
3.19,93.433,63.3,4970.296544130622
3.19,93.433,63.3,4970.296544130622
3.209,54.818,65.6,1324.901616611122
3.209,54.818,65.6,1324.901616611122
3.21,113.98,68.5,7612.061227988982
3.21,113.98,68.5,7612.061227988982
3.213,83.115,63.7,3920.995104102699
3.213,83.115,63.7,3920.995104102699
3.214,99.422,59.2,5312.167589206415
3.214,99.422,59.2,5312.167589206415
3.218,122.116,68.8,8450.880494222849
3.218,122.116,68.8,8450.880494222849
3.23,105.732,60.7,6041.863006385251
3.23,105.732,60.7,6041.863006385251
3.234,96.357,69.6,5487.016618106646
3.236,37.884,34.3,767.4494838067423
3.239,60.47,67.4,2139.792378476216
3.248,99.447,68.0,4406.007850954715
3.249,120.145,66.7,8427.336610219467
3.25,15.153,21.7,133.30451928975154
3.255,20.049,59.1,134.02150378127754
3.257,37.249,30.3,725.824353442458
3.262,101.802,61.7,5918.932589960596
3.263,45.038,52.6,1156.1898453166827
3.265,26.971,55.1,421.2893108284516
3.271,21.279,17.7,250.30082896881743
3.273,76.698,48.6,3138.708598952631
3.276,122.188,64.8,8673.800228131118
3.279,119.996,66.8,8467.399547998757
3.282,113.206,64.2,7341.282617712374
3.29,82.978,62.6,3580.996596698395
3.29,89.582,60.1,4512.831183175178
3.299,37.064,44.1,776.7350576218167
3.312,104.322,63.7,6347.7350610782205
3.34,44.379,66.1,1155.86466780081
3.343,14.046,10.2,106.92758482420552
3.355,22.94,54.6,319.208670898669
3.355,84.079,57.8,4006.874624086936
3.358,48.345,36.9,1287.2426572662478
3.377,65.027,54.4,2449.0792157251904
3.38,114.223,68.9,8065.940755073303
3.391,60.123,43.1,2012.022669201755
3.4,102.7,59.2,6199.364631038756
3.401,30.303,55.6,51.00103580090023
3.403,106.954,60.6,6797.74117120446
3.408,31.877,63.8,617.7274614755369
3.41,94.854,69.9,5625.999704824345
3.418,108.752,69.9,7544.021666602556
3.419,62.749,41.9,2054.424191121792
3.421,72.557,63.6,3169.8835556154363
3.425,42.556,45.1,1027.5843492412405
3.433,126.017,67.6,9916.164676360686
3.445,102.515,63.7,6196.344134353087
3.456,75.605,64.7,3509.677733680283
3.457,81.689,53.7,3889.2155370142304
3.468,94.353,59.8,5379.624055870184
3.519,126.352,68.4,10036.201261178963
3.519,126.352,68.4,10036.201261178963
3.529,101.344,58.7,6083.6729571271935
3.529,101.344,58.7,6083.6729571271935
3.539,53.844,44.9,1663.2984213845536
3.539,53.844,44.9,1663.2984213845536
3.544,62.307,54.6,2350.3136003366385
3.544,62.307,54.6,2350.3136003366385
3.563,23.539,58.4,352.9309549324728
3.563,23.539,58.4,352.9309549324728
3.569,14.038,13.8,136.74832718416906
3.569,14.038,13.8,136.74832718416906
3.572,80.537,61.3,4005.245219522853
3.572,80.537,61.3,4005.245219522853
3.58,77.584,51.2,3588.5349899883317
3.58,77.584,51.2,3588.5349899883317
3.582,105.265,59.4,6881.397807213015
3.582,105.265,59.4,6881.397807213015
3.585,102.19,69.6,6938.4897120309815
3.585,102.19,69.6,6938.4897120309815
3.589,104.284,63.1,6966.707966348639
3.598,38.601,63.3,946.8076516691322
3.599,49.051,61.3,1569.2422018090451
3.6,71.458,45.8,1661.641774591915
3.603,105.294,69.7,7319.717145303352
3.608,82.291,62.9,4399.909918573353
3.61,122.391,63.5,9611.224161542505
3.612,120.966,62.0,9181.38527825782
3.628,125.066,68.7,10534.215715720726
3.647,53.749,55.4,1834.654420171826
3.657,28.925,45.5,543.1504886475313
3.67,98.237,61.7,6257.278102728419
3.672,55.122,44.7,1836.0541267243543
3.675,96.705,65.2,6214.769248970818
3.704,79.878,60.1,4178.205550992774
3.717,61.423,56.4,2453.1170461910374
3.751,69.91,47.0,2143.389601797356
3.751,69.91,47.0,2143.389601797356
3.753,91.976,65.6,5775.335532688228
3.753,91.976,65.6,5775.335532688228
3.754,119.514,70.0,10080.789407827033
3.754,119.514,70.0,10080.789407827033
3.759,30.814,55.8,150.60148317565657
3.759,30.814,55.8,150.60148317565657
3.772,83.426,58.1,4619.279823428617
3.772,83.426,58.1,4619.279823428617
3.774,123.96,65.1,10434.00131769209
3.774,123.96,65.1,10434.00131769209
3.781,126.442,65.1,10841.811860974913
3.781,126.442,65.1,10841.811860974913
3.784,105.559,61.3,7444.054663575326
3.784,105.559,61.3,7444.054663575326
3.784,63.491,57.2,2651.121612342797
3.784,63.491,57.2,2651.121612342797
3.832,79.951,57.0,4282.138884678207
3.832,79.951,57.0,4282.138884678207
3.833,107.508,63.6,6998.220882279655
3.833,107.508,63.6,6998.220882279655
3.833,76.881,49.3,3627.630987942219
3.833,76.881,49.3,3627.630987942219
3.843,64.712,44.1,954.2325059445276
3.843,64.712,44.1,954.2325059445276
3.849,15.508,16.8,162.0788616817232
3.849,15.508,16.8,162.0788616817232
3.866,114.549,65.7,9199.029615938149
3.866,114.549,65.7,9199.029615938149
3.866,41.28,51.5,1165.8114180288294
3.866,41.28,51.5,1165.8114180288294
3.868,36.506,67.9,934.6657895866304
3.868,36.506,67.9,934.6657895866304
3.883,22.81,38.9,133.7467970893831
3.883,22.81,38.9,133.7467970893831
3.889,110.298,59.6,8153.292088229038
3.889,110.298,59.6,8153.292088229038
3.891,30.524,22.8,488.492102732753
3.891,30.524,22.8,488.492102732753
3.894,88.531,61.1,5426.580703683194
3.894,88.531,61.1,5426.580703683194
3.908,120.421,68.3,10527.869029718053
3.908,120.421,68.3,10527.869029718053
3.911,18.174,57.8,205.1846435502646
3.911,18.174,57.8,205.1846435502646
3.92,122.607,69.2,11031.15706318428
3.92,122.607,69.2,11031.15706318428
3.925,39.721,35.9,1049.877424061857
3.925,39.721,35.9,1049.877424061857
3.926,120.878,69.0,10694.274109024936
3.926,120.878,69.0,10694.274109024936
3.929,51.883,51.0,109.87649271862948
3.929,51.883,51.0,109.87649271862948
3.93,63.713,43.9,2636.8387432341656
3.93,63.713,43.9,2636.8387432341656
3.947,68.863,66.7,3455.920619060055
3.947,68.863,66.7,3455.920619060055
